Animal Type,Breed,Age,Gender,Symptom 1,Symptom 2,Symptom 3,Symptom 4,Appetite Loss,Vomiting,Diarrhea,Coughing,Labored Breathing,Lameness,Skin Lesions,Body Temperature,Heart Rate,Disease Prediction,Treatment,Advice Prevention
Cat,Maine Coon,9,Male,Lethargy,Appetite Loss,Weight Loss,Dehydration,Yes,Yes,Yes,No,No,No,Yes,39.0°C,140,Feline Renal Disease,"Fluid therapy (IV or SQ at home) to support kidney function; phosphate binders (aluminum hydroxide, lanthanum carbonate); ACE inhibitors (benazepril) to reduce proteinuria. Prescription renal diet (low phosphorus, controlled protein).","Encourage water intake with water fountains or wet food. Annual blood and urine panels for early detection. Avoid nephrotoxic drugs (NSAIDs, aminoglycosides). Schedule biannual vet checks for cats over 7 years."
Cow,Jersey,6,Female,Fever,Nasal Discharge,Decreased Milk Yield,Lethargy,Yes,No,No,Yes,No,Yes,No,39.4°C,86,Bovine Respiratory Syncytial Virus,"Supportive care: anti-inflammatories (flunixin meglumine), bronchodilators, and oxygen therapy for severe cases. Antibiotics for secondary bacterial pneumonia.",BRSV vaccination in cow-calf programs (vaccinate dams pre-calving for passive immunity). Avoid overcrowding calves. Ensure colostrum intake within 6 hours of birth.
Dog,Labrador Retriever,11,Male,Lethargy,Loss Of Appetite,Fever,Vomiting,Yes,No,No,Yes,No,Yes,No,39.3°C,118,Canine Distemper,"No specific antiviral treatment; intensive supportive care: IV fluids, anticonvulsants (phenobarbital, diazepam) for neurological signs, antibiotics for secondary infections, nutritional support. Vitamin A supplementation may be beneficial.","Core CDV vaccination is essential starting at 6-8 weeks; booster every 3-4 weeks until 16 weeks, then every 1-3 years. Keep unvaccinated puppies away from wildlife (raccoons, foxes are reservoirs)."
Cat,Persian,8,Female,Coughing,Nasal Discharge,Eye Discharge,Loss Of Appetite,Yes,No,Yes,No,Yes,No,Yes,38.9°C,147,Feline Viral Rhinotracheitis,"Famciclovir (30-40 mg/kg orally twice daily) for 3 weeks; topical idoxuridine drops for eye involvement. Supportive care includes fluid therapy, nutritional support, and environmental humidification.","Annual FVRCP booster vaccination. L-lysine as a dietary supplement. Identify and reduce stress triggers (moving, new pets, boarding) that reactivate latent infection."
Dog,German Shepherd,6,Female,Coughing,Labored Breathing,Lethargy,Loss Of Appetite,Yes,No,Yes,No,Yes,No,No,39.4°C,125,Kennel Cough,"Doxycycline (5 mg/kg orally twice daily for 10 days) for Bordetella; cough suppressants (hydrocodone, butorphanol) for comfort. Severe or complicated cases (pneumonia) may need hospitalization and IV antibiotics.","Bordetella, parainfluenza, and adenovirus-2 vaccines required before kennel stays or group activities. Ensure good kennel ventilation. Disinfect shared items. Isolate coughing dogs."
Cat,Scottish Fold,4,Male,Sneezing,Eye Discharge,Appetite Loss,Lethargy,Yes,No,No,Yes,Yes,No,Yes,38.7°C,137,Feline Herpesvirus,Famciclovir (antiviral) orally for active outbreaks; topical idoxuridine or trifluridine eye drops for ocular herpes. L-lysine supplementation (500 mg/day) may reduce viral replication. Antibiotics for secondary infections.,Annual FVRCP vaccine reduces severity of disease. Minimize stress (a key reactivation trigger). Use lysine-supplemented food as long-term management.
Cow,Holstein,7,Male,Coughing,Nasal Discharge,Labored Breathing,Lethargy,No,No,No,Yes,Yes,No,Yes,39.9°C,80,Bovine Pneumonia,"Early antibiotic therapy is essential: tulathromycin (2.5 mg/kg SC, single dose), florfenicol, or enrofloxacin based on sensitivity. NSAIDs (meloxicam or flunixin meglumine) for anti-inflammation and fever.","Vaccinate against major respiratory pathogens (BRSV, BPI3, IBR, BVD, Mannheimia). Ensure proper barn ventilation and avoid overcrowding. Minimize weaning and transport stress."
Dog,Beagle,5,Male,Vomiting,Diarrhea,Loss Of Appetite,Fever,Yes,Yes,No,No,No,Yes,No,39.2°C,132,Gastroenteritis,Treatment varies according to the condition. The following are some medicines that may be used; ; Intravenous or subcutaneous fluids in extreme cases of dehydration; Antibiotics in the presence of an infection; oral steroids such as prednisolone in the event of inflammation,Severe diarrhoea or vomiting may lead to dehydration. It is important to consult your veterinarian immediately.; offer your pet lots of fresh water to maintain hydration.; Change in diet is crucial to decrease digestive tract problems. Choose food which is high in soluble and insoluble fibre to be easily digestible.; Never feed your pet scrapes of skin or other left over’s which are not good for you. If they are not good for your neither are for your pet.
Cat,Bengal,3,Female,Lethargy,Vomiting,Diarrhea,Dehydration,Yes,No,Yes,Yes,No,Yes,No,39.1°C,145,Feline Panleukopenia,"Intensive supportive care: IV fluid and electrolyte replacement, antiemetics (maropitant), broad-spectrum antibiotics (ampicillin + enrofloxacin), and nutritional support. Whole blood or plasma transfusion for severe cases.",FVRCP vaccination (core) is highly effective; start series at 6-8 weeks. Isolate unvaccinated kittens from all feline contact. Use parvocide disinfectants (dilute bleach) in contaminated areas.
Cow,Simmental,8,Female,Loss Of Appetite,Weight Loss,Lethargy,Reduced Milk Production,No,Yes,No,No,Yes,Yes,Yes,39.5°C,83,Johne'S Disease,"No curative treatment; supportive management with quality nutrition, probiotics, and reduced stress. Antidiarrheal agents may provide temporary relief. Culling of clinical cases is recommended.",Annual herd testing with test-and-cull for positive animals. Feed calves from low-risk cows; ensure clean colostrum. Prevent manure contamination of feed and water sources.
Dog,Rottweiler,7,Female,Vomiting,Diarrhea,Loss Of Appetite,Dehydration,Yes,No,Yes,No,Yes,No,No,39.0°C,127,Parvovirus,"Hospitalization with IV crystalloid fluids, colloids if albumin is low, antiemetics (maropitant), and broad-spectrum antibiotics. Anti-endotoxin therapy; early enteral nutrition improves outcomes. Oseltamivir as adjunct in some protocols.",DHPP vaccination is core and highly protective. Ensure complete puppy series and triennial adult boosters. Contaminated environments should be disinfected with 1:30 bleach. Quarantine sick puppies.
Cat,Siberian,2,Male,Coughing,Sneezing,Nasal Discharge,Eye Discharge,Yes,No,Yes,No,No,Yes,No,38.6°C,144,Feline Calicivirus,"Supportive care: IV/SQ fluid therapy, nutritional support, and appetite stimulants. NSAIDs (meloxicam) for fever and oral ulcer pain; antibiotics (doxycycline) for secondary bacterial infections.",Annual FVRCP vaccination is the most effective preventive. Isolate infected cats immediately and disinfect shared surfaces with bleach solution. Reduce stress and overcrowding in multi-cat households.
Cow,Shorthorn,5,Male,Diarrhea,Dehydration,Lethargy,Loss Of Appetite,Yes,No,No,Yes,No,Yes,No,39.4°C,84,Salmonellosis,"Fluid and electrolyte replacement (oral or IV) is the cornerstone of treatment. Antibiotics (trimethoprim-sulfonamide, florfenicol, or ampicillin) based on sensitivity testing. NSAIDs to control fever.","Biosecurity: quarantine new animals, rodent control, clean feed storage. Vaccination available for some serovars (S. Dublin, S. Typhimurium). Proper manure management and hygiene in calving areas."
Dog,Shih Tzu,4,Female,Coughing,Labored Breathing,Appetite Loss,Lethargy,Yes,No,Yes,No,Yes,Yes,No,39.3°C,133,Canine Flu,"Supportive care: rest, fluids, and nutritional support. Antibiotics (doxycycline) for secondary bacterial pneumonia; antivirals in severe cases. NSAIDs for fever management.",Bivalent canine influenza vaccine (H3N2 and H3N8 strains). Isolate sick dogs immediately; disinfect shared items. Notify boarding facilities or dog-park contacts of exposure.
Cat,American Curl,5,Male,Vomiting,Diarrhea,Dehydration,Weight Loss,Yes,Yes,No,No,Yes,Yes,No,38.8°C,148,Pancreatitis,Treatment varies according to the condition. The following are some medicines that may be used; ; Intravenous or subcutaneous fluids in extreme cases of dehydration; Antibiotics in the presence of an infection; oral steroids such as prednisolone in the event of inflammation,Severe diarrhoea or vomiting may lead to dehydration. It is important to consult your veterinarian immediately.; offer your pet lots of fresh water to maintain hydration.; Change in diet is crucial to decrease digestive tract problems. Choose food which is high in soluble and insoluble fibre to be easily digestible.; Never feed your pet scrapes of skin or other left over’s which are not good for you. If they are not good for your neither are for your pet.
Cow,Brahman,3,Female,Fever,Nasal Discharge,Lethargy,Coughing,Yes,No,No,Yes,No,Yes,No,39.8°C,86,Respiratory Syncytial Virus,"Anti-inflammatory therapy (NSAIDs), supportive fluids, and antibiotics (tulathromycin, florfenicol) for secondary bacterial infections. Severe cases may need bronchodilators.",Include BRSV in vaccination protocols. Reduce herd stress; ensure adequate ventilation. Isolate newly purchased animals for at least 3 weeks before mixing with herd.
Dog,Chihuahua,9,Male,Vomiting,Loss Of Appetite,Diarrhea,Lethargy,Yes,Yes,No,No,No,Yes,No,39.1°C,128,Gastroenteritis,Treatment varies according to the condition. The following are some medicines that may be used; ; Intravenous or subcutaneous fluids in extreme cases of dehydration; Antibiotics in the presence of an infection; oral steroids such as prednisolone in the event of inflammation,Severe diarrhoea or vomiting may lead to dehydration. It is important to consult your veterinarian immediately.; offer your pet lots of fresh water to maintain hydration.; Change in diet is crucial to decrease digestive tract problems. Choose food which is high in soluble and insoluble fibre to be easily digestible.; Never feed your pet scrapes of skin or other left over’s which are not good for you. If they are not good for your neither are for your pet.
Cat,Manx,4,Female,Eye Discharge,Nasal Discharge,Sneezing,Coughing,Yes,No,No,Yes,No,Yes,Yes,38.5°C,138,Feline Herpesvirus,Famciclovir (antiviral) orally for active outbreaks; topical idoxuridine or trifluridine eye drops for ocular herpes. L-lysine supplementation (500 mg/day) may reduce viral replication. Antibiotics for secondary infections.,Annual FVRCP vaccine reduces severity of disease. Minimize stress (a key reactivation trigger). Use lysine-supplemented food as long-term management.
Cow,Jersey,6,Male,Weight Loss,Reduced Milk Production,Lethargy,Appetite Loss,Yes,No,Yes,No,Yes,Yes,No,39.4°C,87,Tuberculosis,Infected cattle should be culled under national TB eradication programs; no routine antibiotic treatment is recommended as it masks infection and contributes to persistence. Notify veterinary authorities upon suspected diagnosis.,Annual tuberculin testing and prompt removal of reactors. Purchase only from accredited TB-free herds. Minimize contact with wildlife. Ensure good biosecurity and ventilation in housing. Do not use unpasteurized milk from untested cows.
Dog,Dalmatian,8,Female,Vomiting,Diarrhea,Weight Loss,Dehydration,Yes,No,Yes,No,Yes,No,No,39.0°C,120,Pancreatitis,Treatment varies according to the condition. The following are some medicines that may be used; ; Intravenous or subcutaneous fluids in extreme cases of dehydration; Antibiotics in the presence of an infection; oral steroids such as prednisolone in the event of inflammation,Severe diarrhoea or vomiting may lead to dehydration. It is important to consult your veterinarian immediately.; offer your pet lots of fresh water to maintain hydration.; Change in diet is crucial to decrease digestive tract problems. Choose food which is high in soluble and insoluble fibre to be easily digestible.; Never feed your pet scrapes of skin or other left over’s which are not good for you. If they are not good for your neither are for your pet.
Cat,Bombay,6,Male,Lethargy,Vomiting,Loss Of Appetite,Weight Loss,Yes,No,No,Yes,Yes,No,Yes,38.9°C,149,Hyperthyroidism,Methimazole (2.5 mg orally twice daily) as first-line medical management; transdermal gel formulation available for difficult cats. Radioactive iodine (I-131) is the curative gold standard. Surgical thyroidectomy is an alternative.,Monitor thyroid levels every 3-6 months after starting treatment. Watch for weight loss and increased appetite as early signs. Diet low in iodine (Hills y/d) can be used as adjunct therapy.
Cow,Brown Swiss,3,Female,Diarrhea,Dehydration,Loss Of Appetite,Lethargy,Yes,Yes,No,No,No,Yes,No,39.3°C,85,Coccidiosis,• Veterinary care — involving administration of sulphadimidine through injection or drench.,"• Diet — provide feed and water off the ground to minimize contamination. • Diet — include sulphadimidine or ionophore like monensin, lasolocid in feeds. • Management and environment — rotation of paddock between species may reduce build-up of oocytes. oral drinking, 5g/10kg weight - Hancoli-Forte, oral drinking, 2g/10kg weight - Gentacostrim, 2g/10kg weight Besides, we can use antibiotics for preventing intestinal bacteria; or herbs such as tea bud, guava leaf to recover the intestinal membrane."
Dog,Akita,6,Male,Lethargy,Loss Of Appetite,Fever,Vomiting,Yes,No,Yes,No,Yes,Yes,No,39.5°C,130,Canine Hepatitis,"Supportive care: IV fluids with dextrose, hepatoprotectants (SAMe, milk thistle/silymarin), broad-spectrum antibiotics. Avoid hepatotoxic drugs. Plasma transfusion for coagulopathy.",Core CAV-2 vaccine provides cross-protection against CAV-1 (hepatitis virus). Annual booster as part of DHPP vaccination. Isolate infected dogs.
Cat,British Shorthair,7,Female,Nasal Discharge,Eye Discharge,Sneezing,Lethargy,Yes,No,No,Yes,No,Yes,Yes,38.6°C,142,Upper Respiratory Infection,"Antibiotics (doxycycline or amoxicillin-clavulanate) for bacterial infections; antiviral famciclovir if herpesvirus involved. Nebulization, nasal decongestants, and nutritional support for recovery.",Vaccinate with FVRCP; isolate infected cats. Clean nasal discharge regularly; use a humidifier. Reduce stress and overcrowding. Wash hands between handling sick and healthy cats.
Cow,Guernsey,5,Male,Nasal Discharge,Coughing,Labored Breathing,Fever,Yes,No,Yes,No,No,Yes,No,39.9°C,82,Bovine Influenza,"NSAIDs (flunixin meglumine 2.2 mg/kg IV) for fever reduction and pain; supportive fluid therapy. Broad-spectrum antibiotics (tulathromycin, florfenicol) to prevent secondary bacterial pneumonia.","Vaccinate before high-risk periods (transport, mixing groups). Minimize stress and overcrowding during housing. Ensure adequate ventilation in barns. Quarantine newly purchased animals for 3 weeks."
Dog,Boxer,8,Female,Vomiting,Lethargy,Diarrhea,Loss Of Appetite,Yes,Yes,No,No,Yes,No,No,39.2°C,131,Gastroenteritis,Treatment varies according to the condition. The following are some medicines that may be used; ; Intravenous or subcutaneous fluids in extreme cases of dehydration; Antibiotics in the presence of an infection; oral steroids such as prednisolone in the event of inflammation,Severe diarrhoea or vomiting may lead to dehydration. It is important to consult your veterinarian immediately.; offer your pet lots of fresh water to maintain hydration.; Change in diet is crucial to decrease digestive tract problems. Choose food which is high in soluble and insoluble fibre to be easily digestible.; Never feed your pet scrapes of skin or other left over’s which are not good for you. If they are not good for your neither are for your pet.
Cat,Abyssinian,4,Male,Eye Discharge,Lethargy,Nasal Discharge,Sneezing,Yes,No,No,Yes,Yes,No,No,38.8°C,140,Feline Calicivirus,"Supportive care: IV/SQ fluid therapy, nutritional support, and appetite stimulants. NSAIDs (meloxicam) for fever and oral ulcer pain; antibiotics (doxycycline) for secondary bacterial infections.",Annual FVRCP vaccination is the most effective preventive. Isolate infected cats immediately and disinfect shared surfaces with bleach solution. Reduce stress and overcrowding in multi-cat households.
Dog,Golden Retriever,5,Male,Vomiting,Diarrhea,Loss Of Appetite,Lethargy,Yes,No,Yes,No,Yes,No,No,39.2°C,130,Gastroenteritis,Treatment varies according to the condition. The following are some medicines that may be used; ; Intravenous or subcutaneous fluids in extreme cases of dehydration; Antibiotics in the presence of an infection; oral steroids such as prednisolone in the event of inflammation,Severe diarrhoea or vomiting may lead to dehydration. It is important to consult your veterinarian immediately.; offer your pet lots of fresh water to maintain hydration.; Change in diet is crucial to decrease digestive tract problems. Choose food which is high in soluble and insoluble fibre to be easily digestible.; Never feed your pet scrapes of skin or other left over’s which are not good for you. If they are not good for your neither are for your pet.
Cat,Persian,7,Female,Sneezing,Nasal Discharge,Eye Discharge,Lethargy,Yes,No,No,Yes,Yes,No,Yes,38.9°C,142,Feline Upper Respiratory Infection,Doxycycline or amoxicillin-clavulanate for bacterial infections; nasal decongestants and saline flushes. Antiviral famciclovir if herpesvirus suspected. Syringe feeding and appetite stimulants if not eating.,"Vaccinate with FVRCP; isolate sick cats promptly. Provide warm, draft-free rest area. Regular cleaning of nasal discharge to keep airways clear."
Cow,Limousin,6,Female,Weight Loss,Reduced Milk Production,Appetite Loss,Lethargy,Yes,Yes,No,Yes,No,Yes,No,39.4°C,85,Johne'S Disease,"No curative treatment; supportive management with quality nutrition, probiotics, and reduced stress. Antidiarrheal agents may provide temporary relief. Culling of clinical cases is recommended.",Annual herd testing with test-and-cull for positive animals. Feed calves from low-risk cows; ensure clean colostrum. Prevent manure contamination of feed and water sources.
Dog,Dachshund,4,Female,Lethargy,Vomiting,Loss Of Appetite,Dehydration,Yes,No,Yes,No,Yes,Yes,No,39.0°C,132,Parvovirus,"Hospitalization with IV crystalloid fluids, colloids if albumin is low, antiemetics (maropitant), and broad-spectrum antibiotics. Anti-endotoxin therapy; early enteral nutrition improves outcomes. Oseltamivir as adjunct in some protocols.",DHPP vaccination is core and highly protective. Ensure complete puppy series and triennial adult boosters. Contaminated environments should be disinfected with 1:30 bleach. Quarantine sick puppies.
Cat,Siamese,6,Male,Coughing,Sneezing,Eye Discharge,Lethargy,Yes,No,No,Yes,No,Yes,Yes,38.7°C,140,Feline Calicivirus,"Supportive care: IV/SQ fluid therapy, nutritional support, and appetite stimulants. NSAIDs (meloxicam) for fever and oral ulcer pain; antibiotics (doxycycline) for secondary bacterial infections.",Annual FVRCP vaccination is the most effective preventive. Isolate infected cats immediately and disinfect shared surfaces with bleach solution. Reduce stress and overcrowding in multi-cat households.
Cow,Angus,8,Male,Coughing,Labored Breathing,Lethargy,Nasal Discharge,Yes,No,No,Yes,No,Yes,No,40.0°C,83,Bovine Respiratory Disease,"Tulathromycin, florfenicol, or enrofloxacin based on culture/sensitivity. NSAIDs to reduce fever and inflammation. Severely ill animals may need IV fluids and vitamin supplementation.","Multi-pathogen respiratory vaccines (modified-live or killed) administered before periods of stress. Reduce co-mingling and transportation stress. Maintain clean, well-ventilated housing."
Dog,Corgi,5,Male,Vomiting,Diarrhea,Lethargy,Weight Loss,Yes,No,Yes,No,No,Yes,No,39.2°C,134,Pancreatitis,Treatment varies according to the condition. The following are some medicines that may be used; ; Intravenous or subcutaneous fluids in extreme cases of dehydration; Antibiotics in the presence of an infection; oral steroids such as prednisolone in the event of inflammation,Severe diarrhoea or vomiting may lead to dehydration. It is important to consult your veterinarian immediately.; offer your pet lots of fresh water to maintain hydration.; Change in diet is crucial to decrease digestive tract problems. Choose food which is high in soluble and insoluble fibre to be easily digestible.; Never feed your pet scrapes of skin or other left over’s which are not good for you. If they are not good for your neither are for your pet.
Cat,Burmese,8,Female,Eye Discharge,Nasal Discharge,Sneezing,Lethargy,Yes,No,Yes,Yes,No,Yes,No,38.6°C,139,Feline Viral Rhinotracheitis,"Famciclovir (30-40 mg/kg orally twice daily) for 3 weeks; topical idoxuridine drops for eye involvement. Supportive care includes fluid therapy, nutritional support, and environmental humidification.","Annual FVRCP booster vaccination. L-lysine as a dietary supplement. Identify and reduce stress triggers (moving, new pets, boarding) that reactivate latent infection."
Cow,Hereford,7,Female,Diarrhea,Dehydration,Lethargy,Appetite Loss,Yes,Yes,No,No,Yes,No,No,39.3°C,84,Bovine Johne'S Disease,"No effective curative treatment available. Supportive nutrition with high-energy, easily digestible feed can extend productive life. Cull confirmed-positive animals to prevent herd spread.","Implement a Johne's disease herd management program: annual ELISA testing, test-and-cull strategy. Prevent fecal contamination of feed and water. Separate calves from adult cows at birth."
Dog,Poodle,7,Female,Lethargy,Vomiting,Loss Of Appetite,Diarrhea,Yes,No,Yes,No,No,Yes,No,39.1°C,125,Canine Parvovirus,Intensive IV fluid and electrolyte replacement to correct dehydration and hypovolemia. Antiemetics (maropitant 1 mg/kg SC daily); antibiotics (ampicillin + enrofloxacin) to prevent sepsis. Plasma or blood transfusion for hypoproteinemia.,Core CPV vaccination starting at 6-8 weeks; every 2-4 weeks until 16 weeks old. Keep unvaccinated puppies away from dog parks and unknown dogs. Use parvocide disinfectants on contaminated areas.
Cat,Maine Coon,5,Male,Nasal Discharge,Eye Discharge,Sneezing,Lethargy,Yes,Yes,No,Yes,No,No,No,38.8°C,140,Feline Respiratory Disease Complex,"Antibiotics (doxycycline, azithromycin) targeting Chlamydophila and Bordetella; antiviral famciclovir for herpesvirus. Nebulization therapy with saline helps loosen secretions. Appetite stimulants if anorexic.",Vaccinate with FVRCP (covers FHV-1 and FCV). Isolate affected cats; disinfect bowls and bedding. Reduce stress and overcrowding in multi-cat environments.
Cow,Jersey,6,Male,Coughing,Nasal Discharge,Labored Breathing,Fever,Yes,No,Yes,No,Yes,No,No,39.4°C,81,Bovine Tuberculosis,"There is no practical curative treatment for bovine tuberculosis. Infected cattle must be slaughtered under official disease eradication programs. Antibiotics (isoniazid, streptomycin) are used only in exceptional circumstances under strict veterinary supervision.","Implement a test-and-slaughter program using the tuberculin skin test (TST). Purchase animals only from TB-free herds. Prevent contact with wildlife reservoirs (badgers, deer). Pasteurize all milk. Regular herd testing as per national regulations."
Dog,Shih Tzu,8,Female,Lethargy,Vomiting,Diarrhea,Loss Of Appetite,Yes,No,Yes,Yes,No,No,No,39.0°C,130,Canine Hepatitis,"Supportive care: IV fluids with dextrose, hepatoprotectants (SAMe, milk thistle/silymarin), broad-spectrum antibiotics. Avoid hepatotoxic drugs. Plasma transfusion for coagulopathy.",Core CAV-2 vaccine provides cross-protection against CAV-1 (hepatitis virus). Annual booster as part of DHPP vaccination. Isolate infected dogs.
Cat,Scottish Fold,4,Male,Nasal Discharge,Eye Discharge,Sneezing,Lethargy,Yes,No,Yes,No,No,Yes,No,38.7°C,143,Feline Rhinotracheitis,Famciclovir (antiviral) is the preferred oral treatment; topical antiviral eye drops for corneal ulcers. L-lysine supplementation; broad-spectrum antibiotics for secondary bacterial sinusitis.,Core FVRCP vaccination reduces clinical severity. Long-term L-lysine supplementation may reduce viral recurrence. Stress is the primary trigger for reactivation — manage environmental stressors.
Cow,Brown Swiss,9,Male,Labored Breathing,Nasal Discharge,Coughing,Fever,Yes,No,Yes,Yes,No,Yes,No,39.6°C,80,Bovine Respiratory Disease,"Tulathromycin, florfenicol, or enrofloxacin based on culture/sensitivity. NSAIDs to reduce fever and inflammation. Severely ill animals may need IV fluids and vitamin supplementation.","Multi-pathogen respiratory vaccines (modified-live or killed) administered before periods of stress. Reduce co-mingling and transportation stress. Maintain clean, well-ventilated housing."
Dog,Beagle,6,Male,Coughing,Labored Breathing,Nasal Discharge,Fever,Yes,No,No,Yes,Yes,Yes,No,39.4°C,127,Kennel Cough,"Doxycycline (5 mg/kg orally twice daily for 10 days) for Bordetella; cough suppressants (hydrocodone, butorphanol) for comfort. Severe or complicated cases (pneumonia) may need hospitalization and IV antibiotics.","Bordetella, parainfluenza, and adenovirus-2 vaccines required before kennel stays or group activities. Ensure good kennel ventilation. Disinfect shared items. Isolate coughing dogs."
Cat,Russian Blue,5,Female,Eye Discharge,Nasal Discharge,Sneezing,Lethargy,Yes,Yes,No,No,No,Yes,No,38.6°C,145,Feline Respiratory Infection,Broad-spectrum antibiotics (doxycycline or amoxicillin-clavulanate) for bacterial component; supportive care with humidification and nasal decongestants. Nutritional support with syringe feeding if anorexic.,Annual FVRCP vaccination; good ventilation in cat housing. Disinfect shared items between cats. Keep new cats isolated for 2 weeks before introduction.
Cow,Holstein,7,Female,Coughing,Nasal Discharge,Appetite Loss,Fever,Yes,No,No,Yes,Yes,No,No,39.4°C,79,Bovine Tuberculosis,"There is no practical curative treatment for bovine tuberculosis. Infected cattle must be slaughtered under official disease eradication programs. Antibiotics (isoniazid, streptomycin) are used only in exceptional circumstances under strict veterinary supervision.","Implement a test-and-slaughter program using the tuberculin skin test (TST). Purchase animals only from TB-free herds. Prevent contact with wildlife reservoirs (badgers, deer). Pasteurize all milk. Regular herd testing as per national regulations."
Dog,Golden Retriever,7,Male,Vomiting,Diarrhea,Loss Of Appetite,Lethargy,Yes,No,Yes,Yes,No,No,Yes,39.5°C,118,Canine Parvovirus,Intensive IV fluid and electrolyte replacement to correct dehydration and hypovolemia. Antiemetics (maropitant 1 mg/kg SC daily); antibiotics (ampicillin + enrofloxacin) to prevent sepsis. Plasma or blood transfusion for hypoproteinemia.,Core CPV vaccination starting at 6-8 weeks; every 2-4 weeks until 16 weeks old. Keep unvaccinated puppies away from dog parks and unknown dogs. Use parvocide disinfectants on contaminated areas.
Cat,Sphynx,4,Male,Vomiting,Diarrhea,Loss Of Appetite,Lethargy,Yes,Yes,Yes,No,Yes,Yes,No,39.1°C,148,Feline Infectious Peritonitis,"GS-441524 (antiviral, 4-6 mg/kg SQ or orally) for 12 weeks is the current gold-standard treatment with high remission rates. Prednisolone as supportive anti-inflammatory; drainage of effusions for comfort.",Reduce fecal-oral transmission of FCoV in multi-cat households (daily litter box cleaning). Minimize stress. An intranasal FIP vaccine is available in some countries but efficacy is debated.
Cow,Simmental,8,Male,Appetite Loss,Weight Loss,Fever,Lethargy,Yes,Yes,Yes,Yes,No,Yes,No,39.3°C,80,Bovine Johne'S Disease,"No effective curative treatment available. Supportive nutrition with high-energy, easily digestible feed can extend productive life. Cull confirmed-positive animals to prevent herd spread.","Implement a Johne's disease herd management program: annual ELISA testing, test-and-cull strategy. Prevent fecal contamination of feed and water. Separate calves from adult cows at birth."
Dog,Rottweiler,5,Female,Lethargy,Vomiting,Loss Of Appetite,Coughing,Yes,Yes,No,Yes,No,Yes,Yes,39.2°C,120,Canine Parvovirus,Intensive IV fluid and electrolyte replacement to correct dehydration and hypovolemia. Antiemetics (maropitant 1 mg/kg SC daily); antibiotics (ampicillin + enrofloxacin) to prevent sepsis. Plasma or blood transfusion for hypoproteinemia.,Core CPV vaccination starting at 6-8 weeks; every 2-4 weeks until 16 weeks old. Keep unvaccinated puppies away from dog parks and unknown dogs. Use parvocide disinfectants on contaminated areas.
Cat,Bengal,3,Male,Nasal Discharge,Coughing,Sneezing,Lethargy,Yes,Yes,No,Yes,No,Yes,No,38.9°C,140,Feline Calicivirus,"Supportive care: IV/SQ fluid therapy, nutritional support, and appetite stimulants. NSAIDs (meloxicam) for fever and oral ulcer pain; antibiotics (doxycycline) for secondary bacterial infections.",Annual FVRCP vaccination is the most effective preventive. Isolate infected cats immediately and disinfect shared surfaces with bleach solution. Reduce stress and overcrowding in multi-cat households.
Cow,Angus,6,Male,Coughing,Nasal Discharge,Fever,Weight Loss,Yes,No,Yes,Yes,Yes,No,Yes,39.4°C,82,Bovine Respiratory Disease,"Tulathromycin, florfenicol, or enrofloxacin based on culture/sensitivity. NSAIDs to reduce fever and inflammation. Severely ill animals may need IV fluids and vitamin supplementation.","Multi-pathogen respiratory vaccines (modified-live or killed) administered before periods of stress. Reduce co-mingling and transportation stress. Maintain clean, well-ventilated housing."
Dog,Doberman Pinscher,6,Male,Vomiting,Lethargy,Loss Of Appetite,Coughing,Yes,Yes,No,Yes,No,No,Yes,39.3°C,119,Canine Distemper,"No specific antiviral treatment; intensive supportive care: IV fluids, anticonvulsants (phenobarbital, diazepam) for neurological signs, antibiotics for secondary infections, nutritional support. Vitamin A supplementation may be beneficial.","Core CDV vaccination is essential starting at 6-8 weeks; booster every 3-4 weeks until 16 weeks, then every 1-3 years. Keep unvaccinated puppies away from wildlife (raccoons, foxes are reservoirs)."
Cat,Siamese,4,Female,Nasal Discharge,Lethargy,Loss Of Appetite,Fever,Yes,No,Yes,Yes,No,Yes,No,38.8°C,145,Feline Leukemia Virus,"Immunostimulants (Lymphocyte T-Cell Immunomodulator, LTCI) and supportive care. Antiviral treatments (zidovudine) in some cases. Treat all secondary infections aggressively with antibiotics or antifungals.",FeLV vaccination is the primary preventive. Quarantine and test any new cat entering the home. Spay/neuter to reduce fighting and virus transmission.
Cow,Charolais,5,Female,Lethargy,Coughing,Nasal Discharge,Fever,Yes,Yes,Yes,No,Yes,No,No,39.6°C,81,Bovine Tuberculosis,"There is no practical curative treatment for bovine tuberculosis. Infected cattle must be slaughtered under official disease eradication programs. Antibiotics (isoniazid, streptomycin) are used only in exceptional circumstances under strict veterinary supervision.","Implement a test-and-slaughter program using the tuberculin skin test (TST). Purchase animals only from TB-free herds. Prevent contact with wildlife reservoirs (badgers, deer). Pasteurize all milk. Regular herd testing as per national regulations."
Dog,Pit Bull,4,Female,Lethargy,Vomiting,Loss Of Appetite,Coughing,Yes,Yes,No,Yes,No,Yes,No,39.0°C,125,Leptospirosis,Penicillin G or amoxicillin for the acute bacteremic phase; doxycycline (5 mg/kg orally twice daily for 2 weeks) to clear renal shedding. Aggressive IV fluid therapy for kidney/liver support. Monitor electrolytes closely.,"Annual leptospirosis vaccination. Avoid walking dogs near rivers, flooded areas, or wildlife habitats. Rodent control. Wear gloves when handling urine from infected dogs."
