,Description,Recognition,Symptoms,Similar Conditions,Treatment,Advice/ Prevention
Ulcerative Pododermatitis (Rabbit),"Ulcerative pododermatitis is commonly referred to as sore hocks where the footpad appears to be crusted, swollen and even bleeding. This can even spread to a bone infection known as osteomyelitis and lead to death. Sore hocks can result from excessive weight due to pressure of the skin on wired floor cages or from trauma. other factors can play a role in predisposing the rabbit such as, nervousness, genetics, heavy breed, urine soaked faeces, type of wire used and posterior paralysis after a spinal cord injury.","It is very easy to recognise from the following signs. However, early detection is crucial to prevent infection moving from the wounds to the bones.",;Swollen foot pad ;Crusts ;Bleeding ;Lethargy ;Bone infection ;Tiptoe walking,;osteomyelitis,;Debriding agents; to clean the lesions ;Topical antibiotics ;Leg amputation,";Condition may recur. ;First use debriding agents to clean the lesions and afterwards apply the topical antibiotics. ;Help your pet to lose weight, by feeding more grass and hay rather than pellets. ;Play with your rabbit to help exercising and moving. ;Remove soiled bedding to ensure the area is kept dry. Make sure to provide non-abrasive and soft bedding. ;Daily checking of the feet can prevent this problem."
Bovine babesiosis (tick fever),"Bovine babesiosis, also known as ""Red Water"", is a disease caused by the protozoan parasite Babesia. It's found in areas where ticks are common, and is transmitted when ticks feed on infected cattle. Ticks can then pass the parasite on to the larvae they produce. Cattle. Cross
breeds are more
susceptible.",,"• high fever • neurologic signs such as incoordination, teeth grinding and mania. Some cattle may be found on the ground with the involuntary movements of the legs. When the nervous symptoms of cerebral babesiosis develop, the outcome is almost always fatal. • dark colored urine • anorexia • animals likely to separate from herd, be weak, depressed and reluctant to move • n b. Bigemina parasitaemia often exceeds 10 per cent and may be as high as 30 per cent. Subacute infections, with less apparent clinical signs, are also seen. High temperature,
jaundice like symptoms,
yellowish mucosal
membrane of eye, rectum
and coffee colour urine",,,"Effective control of tick fevers has been achieved by a combination of measures directed at both the disease and the tick vector. Tick control by acaracide dipping is widely used in endemic areas. Dipping may be done as frequently as every 4-6 weeks in heavily infested areas. The occurrence of resistance of ticks, chemical residues in cattle and environmental concerns over the continued use of insecticides has led to use of integrated strategies for tick control. Babesiosis vaccines are readily available and are highly effective. Anti-tick vaccines are also available in some countries and can be used as part of an integrated program for the control of ticks. Babesiosis can be eradicated by eliminating the host tick(s). In the us, this was accomplished by treating all cattle every two to three weeks with acaricides. In countries where eradication is not feasible, tick control can reduce the incidence of disease. Periodical application of
acaricides in and around the
animal shed and on the
animals. For therapeutic
application, Diaminazine or
Imidocarb can be useful."
Coccidiosis (Pigeons),This is a very common intestinal disease amongst pigeons worldwide due to the protozoa Coccidia which reside in the small intestine of nearly all pigeons. It forms long lasting oocytes and following incubation these become infective.,"Coccidia oocytes are first ingested by the pigeon and development takes place in the intestine within 4 to 7 days in different stages, resulting in damage to the intestinal wall. As a result, the pigeon starts to excrete oocytes again. Two forms of coccidiosis: 1. Asymptomatic form : occurs most frequently. Birds develop resistance/ immunity with the help of the internal defence mechanisms to the first small quantities of oocytes ingested. This immunity is strengthened constantly by the ingestion of small amounts of oocytes in turn protecting against the severe form. 2. Acute/ Visible form : occurs at extremes of age; Young pigeons still without resistance to the oocytes or older pigeons whose immunity is lowered by stress factors.","Asymptomatic form: ;Appear healthy but less lively ;Droppings sometimes soft (small amounts of oocytes present in faeces) Acute form: ;Noticeably affected ;Noxious, watery-like, greenish and sometimes bloody diarrhoea (large amounts if oocytes present in faeces) ;Puffed up feathers General condition impaired: reduced feed and increase water intake resulting in general malaise and malnutrition.",;E.coli infection ;Salmonellosis ;Worm infestation,"Asymptomatic form: Do not treat, although they show mild symptoms of infestation so as not to disturb the resistance being developed. Acute form: ;Antiprotozoal agent; amprolium which is a coccidiostat",;Development of feathers will not be disrupted. ;Support treatment by the administration of vitamins particularly A and K3 and supplements of amino acids. ;Use best possible diet.
E.Coli infection (Pigeons),Escherichia coli infection is the second most common disease of the digestive tract following salmonellosis. E.coli bacteria are present as part of the normal flora of the gut of both warm blooded animals and humans. These can also survive for many months in faeces provided that there is an adequate environment. An E.coli bacterium is re-introduced into the body with contaminated feed or water or via inhalation through dust particles.,Rapid multiplication of the E.Coli bacteria results in inflammation of the intestine with consequent diarrhoea in turn leading to loss of water and electrolytes. Bacteria can also penetrate into the bloodstream affecting individual organs resulting in a systemic infection which after only a few hour or days leads to death.,Typical signs of a systemic disorder; ;General condition impaired: reduced feed and increase water intake resulting in general malaise and malnutrition ;Ruffled feathers ;Pain signs; drawn up back and lowered tail ;Respiratory tract may also be involved,;Coccidiosis ;Salmonellosis ;Hexamitiasis,;Nitrofuran antibacterial agents; furazolidone ;Chloramphenicol ;Penicillin antibiotic agents; ampicillin,";Pigeons which are affected with the infection should be selected and separated from the entire flock as these can shed the pathogens. ;Remove factors within the loft which lower the resistance to pathogens: ventilation and waste-air extraction, deficient supply of oxygen, presence of noxious gases, dust in the loft, stocking density. ;Do not leave any feed overnight due to the risk of contamination by insects, mice or rats. Apart from this precaution, feed and water bowls are to be cleaned thoroughly and make sure that no rodents can access the loft."
Endoparasites; Worm infestation (Pigeons),"The type of parasites found in pigeon flocks are roundworms, hairworms and tapeworms, the latter being the least common. These survive by feeding in the intestines of the pigeon. As the name implies the hairworm is a hair-like parasite, very slender and long, with their eggs being the most infectious after 8 to 9 days. The hairworm is not a specific parasite to pigeons only, but can also infect other poultry species. The roundworm occurs only in pigeons, and its eggs become mostly infectious after 2 to 3 weeks. Tapeworms depend on intermediate hosts to be transmitted to pigeons. This can occur through the consumption of snails, ants or beetles.","Tapeworm infestation can be identified by examining the faeces for eggs or segments. However, other parasite infestations are only visible through microscopic examination of the faeces.","Period from ingestion of worm eggs to the first excretion of the eggs in faeces for; o Tapeworm is about 2 weeks o Hairworm is 3 to 4 weeks o Roundworm is 5 to 6 weeks ;Following 10 to 12 days of consumption of the eggs, droppings may vary in consistency and appearance. ;Initially, appetite increases, but upon progression of infestation it diminishes. ;Anorexia; weight loss ;General condition impaired: lifeless, laid-back, reluctance to fly. ;Ruffled feathers",;E.Coli infection ;Salmonellosis ;Coccidiosis,;Anthelmintic agents; fenbendazole,";All pigeons in the flock should be treated at the same time. ;Examine the faces for eggs or segments to ensure complete eradication. ;Do not treat if pigeon is nurturing the young or whilst in the main process of moulting. ;Do not leave any feed overnight due to the risk of contamination by insects. Apart from this precaution, feed and water bowls are to be cleaned thoroughly and make sure that no insects can access the loft."
Hexamitiasis (Pigeons),"Pigeons usually present with this disease due to the flagella, Hexamita columbae which affects the rectum. Flocks are mostly to become infected during the summer and autumn period. The incubation period is about 4 to 5 days.","Adult pigeons infected with hexamitiasis do not usually present with noticeable signs and symptoms, but it can be recognised because there is an increase in the quantity of droppings.",";Watery-like or bloody and noxious diarrhoea ;General condition impaired; reduced feed and increase water intake resulting in general malaise and malnutrition. ;Young pigeons; the entire intestines become involved with bloody diarrhoea, sometimes leading to death.",;E.coli infection ;Salmonellosis ;Coccidiosis ;Paramyxovirus infection,;Antiprotozoal agents; Dimetridazole ;Aminoglycosides antibiotics; Aminosidine sulphate,";It is important to treat all the pigeons living together at the same time. ;Do not dilute medication if there is the need to increase drinking water (for example, during the hot weather), but following medicated water provide fresh water. ;Do not provide bath water."
Calf scour,"Calves may develop scours due to bacterial or virus infections. Scours is known as ""calf scours"" or neonatal calf diarrhea. The primary causes of scours include: Rota virus, Corona virus, Cryptosporidium parvum, Salmonella and Escherichia coli.","Determine if treatment is required. Calves that are moving around in the pasture, with their tails up, probably do not need treatment. Check to see if the diarrhea is yellow or white. If this is the case, treatment is probably not needed. • Determine if the calf is looking listless. Calves that are lethargic or not participating much in the playful activities with other calves are a red flag to pay attention to. Calves that are also losing condition are also cause for alarm. • Check to see if the calf is dehydrated. You can check for dehydration by pulling on the calf's neck skin. If the skin ""tents"" this is a sign of dehydration. • Determine the calf's body temperature. A normal body temperature ranges from 100.5 °f (38.1 °c) to 102.5 °f (39.2 °c). Anything outside of this range is a sign for treatment. • Separate the sick calf or calves from the healthy herd. You'll want to do this to avoid spreading the disease further. • Administer fluids using your veterinarian-approved electrolyte solution. You may need to inject the fluids via iv or orally. • Follow appropriate nursing care protocol using your vet's guidelines. This may include providing shelter, feed and a warm place to sleep. • A drawback from providing shelter is maintaining infectious control. You will have to work extra to get rid of soiled bedding and disinfect everything that a calf will touch, from the floor to the fence panels and even the feed bucket. • Enthnovet practice: Ingredients needed: vasambu (Acorus calamus) leaves 2 numbers, dried ginger (Zingiber officinale) 50 gm, guava (Psidium guajava) tender leaves 200 gm. The above materials are ground and made into a bolus and administered orally one or two times.",,,,
Infectious catarrh,"Infectious catarrh is a disease of the respiratory tract which often results because of mixed infections (mycoplasma, viruses, fungi and trichomonads). The birds’ resistance to infection is reduced due to the pathogenic bacteria developed (pasteurella, cocci and coli bacteria) and also due to factors within the loft environment.",;Behaviour of the affected pigeon ;Inflammatory changes in the head region and respiratory tract ;Characteristic sound of respiration (example: wheezing) on first suspicion of the disease a veterinary examination is vital.,"Initial stage; ;Sneezing and aqueous nasal discharge Acute stage; ;Nasal discharge becoming mucopurulent and yellowish brown in colour ;General condition impaired; reduced feed and water intake, cessation of down moulting, reluctance to fly. ;Wattle and bridge of nose turn grey ;Beak opened: stringy mucus stretching from the retrolingual region to the palate ;Redding and swelling of pharyngeal mucosa Advanced stage; ;Inflammation extends to windpipe and lower respiratory tract ;Visible and audible catarrh (wheezing) ;White-yellow deposits in the laryngeal region",;ornithosis ;Trichomoniasis,";Pleuromutilin antibiotics; tiamulin, valnemulin ;Aminoglycoside antibiotics; lincomycin, spectinomycin, foramycin ;Tetracycline antibiotics; chlortetracycline ;Macrolide antibiotics; tylosin",";It is important to start treatment immediately upon appearance of first signs. ;Do not provide bath water. ;Do not give any feedstuffs containing calcium (as it binds to tetracycline antibiotics in turn reducing its efficacy). ;No free flight for affected pigeons. ;Remove factors within the loft which lower the resistance to pathogens; ventilation and waste-air extraction, deficient supply of oxygen, presence of noxious gases, dust in the loft, stocking density."
ornithosis (Pigeons),ornithosis is caused by Chlamydia psittaci micro organism through invading internal cells. Transmission of infection can occur; indirectly via inhalation of dust particles containing the pathogen and also directly by ingestion of contaminated food and water with faeces.,"This disease is very difficult to recognise since no clinical sign is definite for ornithosis. A swab either from the nose, eyes or the genital or anal area is taken to confirm diagnosis.","Acute form (occurs in young pigeons): ;Wheezing (recognised as pigeon breaths with half opened beak) ;Inflammation of one or both eyes (presented as redness, yellow crusts and pus covering the whole eye) ;Watery-like diarrhoea Chronic form (occurs in adult pigeons): ;Few or no signs shown",;Paramyxovirus infection ;Infectious catarrh ;Salmonellosis,";Tetracycline antibiotics; chlortetracycline, doxycycline ;Fluoroquinolone antibiotics; enrofloxacin",";Pigeons which are chronic carriers (ie. Appearing healthy following survival of infection) should be selected and separated from the entire flock as these can shed the pathogens at irregular intervals. ;Do not provide bath water. ;Do not give any feedstuffs containing calcium (as it binds to tetracycline antibiotics in turn reducing its efficacy). ;No free flight for affected pigeons. ;Remove factors within the loft which lower the resistance to pathogens: ventilation and waste-air extraction, deficient supply of oxygen, presence of noxious gases, dust in the loft, stocking density. ;To prevent transmission it is very important to take precautions, by using gloves and face masks and applying good hygiene measures. ;This disease can also be transmitted to humans and other mammals, leading to atypical pneumonia and also life threatening acute illness!"
African Swine Fever,"African swine fever (ASF) is a highly contagious viral disease of domestic and wild pigs, whose mortality rate can reach 100%. It is not a danger to human health, but it has devastating effects on pig populations and the farming economy.
The virus is highly resistant in the environment, meaning that it can survive on clothes, boots, wheels, and other materials. It can also survive in various pork products, such as ham, sausages or bacon. Therefore, human behaviours can play an important role in spreading this pig disease across borders if adequate measures are not taken.","This diseases can affect pigs of any age. High mortality rates. The key clinical signs include blue-purple cyanosis of snout, ears, tail and lower legs; high fever; and heavy discharge from eyes and nose. This disease is notifiable -contact your vet and local authorities if you believe this disease is affecting your herd.","• High fever 40-42°C. • Loss of appetite. • Depression. • Lethargic- sometimes refusal to stand or move. • Very unsteady when stood up. • Vomiting and/or diarrhoea with bloody discharge. • White skinned pigs: extremities (nose, ears, tail and lower legs) become cyanotic (blue-purple colour). • Discrete haemorrhages appear in the skin particularly on the ears and flanks. • Group will huddle together and are usually shivering. • Abnormal breathing. • Heavy discharge from eyes and/or nose. • Comatose state and death within a few days. • Some pigs can show conjunctivitis with reddening of the conjunctival mucosa and ocular discharges. Pregnant sows commonly undergo miscarriage or deliver stillborn piglets that are malformed -piglets can be tested for the virus. Mortality rate in infected groups of pigs is high and there is no vaccination proven to prevent or cure infection, therefore, it is crucial that control begins on-farm. European, South American and Caribbean countries which have been infected have adopted a slaughter policy to eradicate the virus within the herd. Mild strains of the virus also occur which cause a milder but equally serious disease in domestic pig herds -individuals from these herds must also be slaughtered to prevent pathogenesis. Pigs that die early in an outbreak may not have any noticeable lesions but as the disease progresses the lesions then are striking. Bright red haemorrhages in the lymph nodes, kidneys, heart and linings of the body cavities are common findings. There may also be excess haemorrhagic fluid in the body cavities and gelatinous fluid in the lungs. The spleen may be enlarged, darkened and crumble on slight pressure.",,There is no treatment. All infected animals must be isolated and culled immediately upon confirmation of presence of the virus.,"There is no live or attenuated vaccine for the prevention of ASF therefore control of the virus is reliant on strict biosecurity. • Do not feed domestic pigs food waste; this is illegal in the UK, other EU regions and some states within the US • Where ‘permitted garbage feeding’ is legal in US states, pigs fed this way are prohibited from exportation. • Do not leave food waste exposed for wild swine species to access. Dispose of food waste properly. • Abide by strict biosecurity rules. Do not take pig meat onto farms, or restrict all food (and consumption of food) to a canteen. All staff on farm should be inducted onto a strict programme of hand and equipment sanitisation before and after contact with pigs. • Follow rules and regulations on disposal of food waste at ferry ports and airports. • Provide the means for staff and visitors to thoroughly sanitise their hands and equipment. • Ensure that wild boar, warthogs and wild pigs, and materials potentially contaminated by such wild species do not come into contact with domestic pigs. • Check infected regions before import of goods that could potentially be contaminated. • Advise and educate people on the risks of bringing back pork products from infected regions."
Paramyxovirus infection (Pigeons),"This infection can be contracted only by pigeons and not by any other bird species. Infected pigeons shed the virus via secretions from mucous membranes (eyes, nose and throat) and also in faeces.","The virus is detected through tissue samples and swabs taken from suspected pigeons. It is best to be recognised during the initial incubation period, since afterwards it may lead to death.",Incubation period of the infection: 3 to 21 days Initial signs; ;Reduced intake of feed and increased water uptake ;Anorexia ;Faeces present in a puddle due to increased water excretion Following some days into incubation period; ;Paralysis of one or both legs ;Reserved ;Torsion of the neck ;Twisting movement of the body ;Walking in reverse ;Death,;Salmonellosis,No treatment for viral diseases.,";About 30% of the infected pigeons may recover on their own following 4 weeks of infection. ;Support viral infection and other pigeons in the flock by vitamin, herbal extracts, ginseng and amino acid supplements. ;Vaccination should take place if viral infection is suspected in a flock, even in pigeons which appear unaffected, as to avoid spreading of the virus. This is the most effective way of preventing and controlling infection by the paramyxovirus. ;However, affected birds which show symptoms of infection should be selected and separated from the entire flock and cannot be vaccinated."
Pigeon Pox,This viral infectious disease is characterised by changes on the skin and mucous membranes of the pigeons. It cannot be transmitted to humans or other mammals. Its incidence is greater in humid and warm weather.,Disease last for about 3 to 4 weeks; if pigeon is malnourished it can also lasts for several months. Both forms of the pigeon pox can be clearly recognised because both scaly skin and lumps are visible.,"Skin form; ;Scaly skin develops especially around the eyes and beak (where mucous membranes meet the skin), and also on the legs. It can be clearly identified from normal skin. ;Virus enters the skin through lesions such as scratches or insect bites Mucosal form; ;Lumps develop in the throat; these may impair food and water intake and breathing. ;Can be confused with canker but can be easily distinguished as these lumps form part of the tissue underneath. If virus enters systemically, it impairs general condition through effect on internal organs.",;ornithosis ;Infectious catarrh ;Trichomoniasis,No treatment for viral diseases. ;Antibiotics such as chlortetracycline; to prevent secondary bacterial infections,";Support viral infection and other pigeons in the flock by ginseng, vitamins, herbal extracts and amino acid supplements. ;Do not attempt to remove the scaly skin as there is a risk of bleeding. ;Treat any secondary bacterial infection if any suspected, as these may complicate the presentation of pigeon pox. ;No free flights for affected pigeons. ;Do not provide bath water. ;Do not give any feedstuffs containing calcium (as it binds to tetracycline antibiotics in turn reducing its efficacy). ;Prevention is better than cure! Pigeon pox vaccine is available for immunisation against the disease. ;Provide best possible diet. ;Vaccination should take place if infection is suspected in a flock, even in pigeons which appear unaffected to avoid spreading of the disease. ;However, affected birds which show symptoms of infection should be selected and separated from the entire flock and cannot be vaccinated."
Classical Swine Fever,This diseases can affect pigs of any age. High mortality rates. The key clinical signs include conjunctivitis; high fever; and heavy discharge from eyes and nose. This disease is notifiable -contact your vet and local authorities if you believe this disease is affecting your herd. Pigs,,"The virus that causes CSF varies in virulence. Some strains are highly virulent and cause acute (i.e. rapid) serious disease. Some strains are of low virulence and cause chronic (i.e. long-lasting) disease, others are intermediate causing sub-acute disease. Acute disease • Clinical signs usually appear first in a small number of growing pigs which show non-specific signs of depression, sleepiness, and reluctance to get up or to eat. If you get them up they may wander to the feeder but eat very little or nothing and wander away again to lie down. They walk and stand with their heads down and tails limp. over the following few days these signs get worse and more pigs become affected. • Younger piglets may appear chilled, shiver and huddle together. • Initially affected pigs may appear to be constipated but this generally changes to a yellow-grey diarrhoea as the disease progresses. Early on some of the pigs may develop conjunctivitis (inflammation of the eye surface) with thin discharges. This gets worse, the discharge getting thicker with time until some of the eyelids are completely closed and adhered. • A constant early sign, which persists throughout the disease until just before death, is a high fever, over 42ºC (107ºF). Check the sick pigs' rectal temperatures. If they are all high suspect CSF. • As the disease progresses the affected pigs become very thin and weak and develop a staggering walk. Initially this is probably through weakness but later it is due to infection of and damage to the spinal nerves. Partial paralysis of the hind end results in a drunken walk and a tendency to fall to a sitting or lying position. Diarrhoea worsens and some pigs vomit a yellowish bile. The pigs' skins go purple, first over the ears and tail, followed by the snout, lower legs, belly and back. Affected pigs die in 10-20 days. Some pigs go into convulsions before death. Sub-acute disease The early signs in growing pigs are similar but they progress more slowly and are less severe. Affected pigs may be ill for up to 30 days before they die. Chronic and aberrant disease and persistent infection The virus can cross the placenta and infect the piglets in the sow's uterus. Sows that have been inadequately vaccinated that become infected, or sows which become infected with a virus of low virulence, may appear normal but give birth to shaking piglets many of which die. (Note: there are also other causes of shaking or trembling piglets). If the virus crosses the placenta before the piglets' immune systems have developed they may be born apparently healthy although possibly weak and may grow on to be persistent carriers without at first showing clinical signs. They shed virus so they are a menace to other pigs. At several weeks or months of age they may develop typical clinical signs but these are likely to be milder, last longer and without the high temperatures. Virus that infects the piglets in the uterus may cause other effects, namely, death, mummification, abortion or the birth of weak piglets some of which may be deformed. Vaccination of sows during pregnancy with some of the original attenuated virus vaccines resulted in trans-placental infection of unborn piglets with similar adverse results. The newer attenuated vaccines are claimed to be safer. Low virulence strains of the virus may also multiply in the reproductive tracts of unvaccinated boars or boars which have been inadequately vaccinated. The vaccine virus itself in some of the older attenuated vaccines was thought to do this, resulting in returns to service and abortions. Diagnosis In acute or sub-acute outbreaks a presumptive diagnosis can be made on the typical clinical signs and post-mortem lesions but African swine fever and Salmonella choleraesuis infection produce some similar signs and lesions. Salmonella choleraesuis is frequently a concurrent pathological infection with CSF virus, triggered off from its latent state by the CSF virus infection. In chronic or aberrant cases the clinical signs and lesions are less diagnostic and may only raise a suspicion of CSF. Fever, Conjunctivitis,
purplish discolouration of
snout, ears, abdomen,
inner side of the legs and
staggering gait.",,There is no treatment.,"Vaccination • Inactivated vaccines on-farm precautions • If you farm in a country where CSF is endemic or where there is a risk of CSF occurring consider routinely vaccinating your herd if vaccination is allowed. This will greatly reduce the possibility of contamination. • CSF virus does not spread as readily as some other viral infections (e.g. TGE and FMD). Unlike FMD it is not windborne. Thus the conscientious application of simple biosecurity measures should keep it out of the herd. • If CSF is in your country important precautions include reducing visitors to a minimum, taking precautions against contamination from vehicles, and not allowing pig meat products near any pigs. • Any replacement pigs coming on to the premises should come from known safe sources and should be quarantined. In some areas the disease has become very mild and spread can go unrecognised. • Pig buildings should be protected from stray animals, particularly wild pigs and boars. Vaccination of susceptibleanimals. Restriction onanimal movement, strictbiosecurity measures andproper disposal of carcass"
Salmonellosis=Paratyphus,"This infectious bacterial disease has the highest mortality rate amongst pigeons. The bacterium Salmonella typhimurium, can live in the environment given the right conditions for more than 1 year.","Apart from the visible signs, samples taken from faces, blood and tissue of the infected pigeon are taken to confirm diagnosis.","Acute form (affects mainly young pigeons): ;Enteritis; few watery-like and greenish droppings with white flocculent components. ;organs become infected and result in growth retardation, malnutrition and sometimes death. Chronic form (affects mainly adult pigeons): ;Inflammation results in thickening of the joints (esp. Elbow joint), infirmity in legs and wings, balance disorders and torsion of the neck.",;ornithosis ;Paramyxovirus infection ;Worm infestation ;Coccidiosis ;Trichomoniasis,It should be initiated as soon as first symptoms appear. Start with chloramphenicol. ;Antibacterial agent; chloramphenicol ;Penicillins; ampicillin,"Salmonella transmission can take place via sexual or physical contact and through contamination of the feed and water bowls. To avoid: ;Remove factors within the loft which lower the resistance to pathogens: ventilation and waste-air extraction, deficient supply of oxygen, presence of noxious gases, dust in the loft, stocking density. ;Do not leave any feed overnight due to the risk of contamination by insects, mice or rats. Apart from this precaution, feed and water bowls are to be cleaned thoroughly and make sure that no rodents can access the loft. ;Care when mating. Blood tests of suspected pigeons should be carried out, since disease can be transmitted from the hen to the egg. ;Also, take care when nestling are fed because of the risk of contaminated crop milk. ;Pigeons which are chronic carriers (ie. Appearing healthy following survival of infection) should be selected and separated from the entire flock as these can shed the pathogens at irregular intervals. ;It is important, to treat the entire flock even if only one pigeon shows symptoms. Before hand, severely affected pigeons should be selected and separated as these are unlikely to be cured. ;Vaccination is the most effective way of preventing and protecting pigeons against salmonellosis. All pigeons in the flock that appear healthy can be vaccinated. ;Remove pigeons which show signs of illness."
Canine Coronavirus,This is an intestinal infection that is highly contagious and affects both wild and domesticated dogs. The virus is limited to the upper two thirds of the small intestines. A lot of the time there may be no symptoms and the infection will clear up by itself. However this infection can be problematic for puppies and dogs that have other infections such as parvovirus.,,"It is common in older dogs for there to be no symptoms, but when there are symptoms these include vomiting, diarrhea, and dehydration. Treatment will involve administering extra fluids and electrolytes.",,,If you suspect your puppy may have contracted Coronavirus it is important to get him to the vets as it can be fatal for a puppy.
Canine Distemper,"Canine distemper is a very serious viral disease. It can be transmitted through the air from dog to dog. It is highly contagious and there is no known cure, which is why it is very important that you get your dog vaccinated against it.",,"High temperature, coughing, lethargy, loss of appetite, heavy breathing, red eyes and a runny nose. Diarrhoea and vomiting can also be symptoms.",,,"If you suspect that your dog has contracted canine distemper, contact your vet immediately. Do not take your dog into the vets until you have notified the receptionist, otherwise you may infect other dogs."
Trichomoniasis (Pigeon),"Trichomoniasis is also commonly known as canker. Most of the pigeons are carriers of the flagella trichomonads. These live in the mucosal membrane of the throat, beak and oesophagus and are also present in produce. Infected pigeons transmit the parasites through faeces and saliva, in turn, affecting the young pigeons while feeding together.",N/A,Adult pigeons: ;Decreased endurance ;Reluctance to fly ;Diarrhoea ;Bloody coloured throat ;Upon progression; yellow buttons form on oral mucosa growing into yellow deposits ie. canker. Young pigeons: ;Abscess ;Pungent-smelling liquid droppings ;Subnormal growth ;Constantly crying for food,;Sialoliths: salivary calculi; these occur as a result of solidified saliva (secretions of the mucous glands). It presents as white dots (firm and yellowish/white to grey nodules) at the end of the throat.,;Antiprotozoal agents; Dimetridazole ;Aminoglycosides antibiotics; Aminosidine sulphate,";It is important to treat all the pigeons living together at the same time. ;Do not remove yellow deposits from oral mucosa (canker) as there is a risk of bleeding. ;Do not dilute medication if there is the need to increase drinking water (for example, during the hot weather), but following medicated water provide fresh water. ;Do not provide bath water."
Canine Hepatitis,"Canine Hepatitis, commonly known as Rubarth Disease is a viral disease that is often mistaken for canine distemper. It can be transmitted via faeces, urine, blood and saliva.",,"High temperature, coughing, loss of appetite, depression, vomiting, pale gums and abdominal pain. Symptoms of jaundice may occur as this disease infects the liver and kidneys.",,,"If you suspect that your dog has contracted canine hepatitis, contact your vet immediately. Don’t let him come into contact with any other dog and clear up his faeces."
Canine Influenza,Canine Influenza is a highly contagious respiratory viral infection that can cause kennel cough. It is easily transmitted between dogs in close proximity to each other.,,"Coughing, sneezing, nasal discharge, breathing difficulties, variable fever, loss of appetite, and lethargy.",,,If you think your dog may have influenza contact your vet immediately as failure to treat the virus could lead to secondary complications such as pneumonia.
Canine Parainfluenza,"Canine parainfluenza is a contagious respiratory virus that can be transmitted via contact with infected dogs, shared bowls, and beddings. The virus can spread quickly between dogs that are kept in close contact such as dogs in kennels. Your vet will give you antibiotics for you to treat your dog.",,"A cough, a fever/temperature, nasal discharge, loss of appetite, and a lack of energy.",,,If you suspect your dog has contracted Canine Parainfluenza contact your vets immediately.
Kennel Cough,"Also known as canine tracheobronchitis, kennel cough is a highly contagious and infectious disease. It is transmitted through the air, usually in areas where there is a dense population of dogs such as a kennel or a show. The treatment for kennel cough is usually administered as a nasal spray, although there is an injection available for dogs who find it extremely uncomfortable.",,"A dry hacking or honking cough, retching and nasal discharge. Most dogs that contract kennel cough will show a lack of appetite, but some may not. The illness may progress into secondary pneumonia, and include a high temperature, lethargy, and in extreme cases death.",,,"If your dog shows these symptoms contact your vet immediately. Do not take your dog into the vets until you have notified the receptionist, otherwise you may infect other dogs."
Wet Droppings (Pigeons),"The pigeons’ state of health can be analysed through the appearance, composition and smell of the faeces. Normal gut contents leave the intestinal tract in the form of a paste (like toothpaste) as contents thicken during their way out and urine is thickened and excreted as uric acid crystals with faeces appearing as white constituents. Changes in faeces can be due to many possible causes such as; ;Change of weather; low temperature, humidity, drafts. ;Psychological stress; racing season, agitation of individual pigeon, vaccinations, exhibitions, changes in the loft layout and feeding times. ;Disturbance in the fluid balance leading to loss of water, minerals and trace elements; changes in type of feed, intolerance to certain feed.","It is very easy to recognise by analysing the appearance, composition and smell of the faeces.",;Faeces not thickened; gut contents spend less time in the intestine ;Urine not thickened because of increased volume (due to excessive water intake) ;Result: Diarrhoea or wet droppings,;Paramyxovirus infection ;E.Coli infection ;Salmonellosis ;Coccidiosis,N/A,";Eliminate any of the possible causes which can result in wet droppings. o Avoid temperature changes, especially in the very hot and very cold months; use air-extractors. o Avoid changes in the loft layout and feeding times. o Provide supplements for stress which pigeons develop before a race. o Take care when changing type of food; inspect faeces produced by pigeons for any intolerance to any ingredient in the feed. ;Diarrhoea results in loss of water, minerals and trace elements. It is important to replace this loss to stabilise the flora of the gut; use electrolytes. ;Do not provide bath water."
Milk fever,"Milk fever, also known as Parturient hypocalcaemia and parturient paresis, is a disease which has assumed considerable importance with the development of heavy milking cows. Decrease in the levels of ionized calcium in tissue fluids is basically the cause of the disease. In all adult cows, there is a fall in serum-calcium level with the onset of lactation at calving. The disease usually occurs in 5 to 10 year-old cows, and is chiefly caused by a sudden decrease in blood-calcium level, generally within 48 hours after calving.",,"• in classical cases, hypocalcaemia is the cause of clinical symptoms. Hypophosphataemia and variations in the concentration of serum magnesium may play some subsidiary role. • the clinical symptoms develop usually in one to three days after calving. They are characterized by loss of appetite, constipation and restlessness, but there is no rise in temperature.",,,
Leptospirosis,"Leptospirosis is caused by a bacteria and is usually contracted from contaminated water, so try and prevent your dog from drinking out of any puddles, ponds, lakes, reservoirs or canals. The bacteria mainly comes from the urine of rats, pigs and cattle, which makes farms the most likely place for the disease to be transmitted.",,"High temperature, loss of appetite, vomiting, lethargy, depression, muscle pain, diarrhoea and blood in the urine. Leptospirosis affects the liver and the kidneys so watch out for excessive drinking and urinating, yellow eyes and persistent vomiting.",,,"If you suspect that your dog has contracted leptospirosis, contact your vet immediately."
Parvovirus,"Canine parvovirus is a life-threatening and highly contagious viral disease. It can be contracted from infected dog faeces, food and water bowls, clothes and carpets. It is very important that you have your dog vaccinated against parvovirus as it is highly contagious and can live on objects for months.",,"Loss of appetite, lethargy, persistent vomiting and bloody diarrhoea. If you notice these symptoms get in contact with your vet immediately. Do not take your dog into the vets until you have notified the receptionist, otherwise you may infect other dogs.",,,
